"filename", "language", "YAML", "Properties", "Markdown", "Groovy", "Batch", "Shell Script", "Dockerfile", "XML", "HTML", "Kotlin", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\join_group.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\lead_convert.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\leave_group.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\log_a_call.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\log_event.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\manage_perm_sets.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\map.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\more.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_account.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_campaign.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_case.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_child_case.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_contact.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom100.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom15.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom17.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom18.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom19.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom20.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom21.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom22.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom23.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom24.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom25.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom26.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom27.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom28.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom29.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom30.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom31.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom32.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom33.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom34.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom35.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom36.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom37.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom38.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom39.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\new_custom4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
